Date,HomeTeam,AwayTeam,Referee,HF,AF,TF,HY,AY,TY,HR,AR,TR
01/02/2017,Stoke,Everton,C Pawson,21,12,33,1,0,1,0,0,0
01/02/2017,West Ham,Man City,K Friend,11,14,25,3,3,6,0,0,0
04/02/2017,Chelsea,Arsenal,M Atkinson,14,8,22,1,1,2,0,0,0
04/02/2017,Crystal Palace,Sunderland,A Marriner,8,8,16,3,3,6,0,0,0
04/02/2017,Everton,Bournemouth,M Jones,14,4,18,3,1,4,0,0,0
04/02/2017,Hull,Liverpool,L Mason,9,12,21,2,1,3,0,0,0
04/02/2017,Southampton,West Ham,G Scott,12,15,27,0,2,2,0,0,0
04/02/2017,Tottenham,Middlesbrough,M Clattenburg,8,11,19,0,1,1,0,0,0
04/02/2017,Watford,Burnley,M Oliver,12,10,22,5,0,5,0,1,1
04/02/2017,West Brom,Stoke,K Friend,6,13,19,2,2,4,0,0,0
05/02/2017,Leicester,Man United,A Taylor,12,13,25,2,4,6,0,0,0
05/02/2017,Man City,Swansea,M Dean,9,13,22,2,3,5,0,0,0
11/02/2017,Arsenal,Hull,M Clattenburg,12,9,21,3,1,4,0,1,1
11/02/2017,Liverpool,Tottenham,A Taylor,14,14,28,3,4,7,0,0,0
11/02/2017,Man United,Watford,R Madley,10,12,22,1,0,1,0,0,0
11/02/2017,Middlesbrough,Everton,M Dean,14,9,23,2,0,2,0,0,0
11/02/2017,Stoke,Crystal Palace,M Atkinson,10,14,24,1,3,4,0,0,0
11/02/2017,Sunderland,Southampton,P Tierney,12,14,26,1,0,1,0,0,0
11/02/2017,West Ham,West Brom,M Oliver,7,14,21,3,2,5,0,0,0
12/02/2017,Burnley,Chelsea,K Friend,12,11,23,3,2,5,0,0,0
12/02/2017,Swansea,Leicester,J Moss,7,14,21,2,2,4,0,0,0
13/02/2017,Bournemouth,Man City,N Swarbrick,8,11,19,2,3,5,0,0,0
25/02/2017,Chelsea,Swansea,N Swarbrick,11,14,25,1,3,4,0,0,0
25/02/2017,Crystal Palace,Middlesbrough,R Madley,13,15,28,3,1,4,0,0,0
25/02/2017,Everton,Sunderland,S Attwell,10,16,26,0,2,2,0,0,0
25/02/2017,Hull,Burnley,M Atkinson,8,13,21,1,1,2,0,1,1
25/02/2017,Watford,West Ham,C Pawson,18,14,32,4,1,5,0,1,1
25/02/2017,West Brom,Bournemouth,M Clattenburg,12,5,17,2,0,2,0,0,0
26/02/2017,Tottenham,Stoke,J Moss,11,14,25,2,3,5,0,0,0
27/02/2017,Leicester,Liverpool,M Oliver,8,5,13,0,0,0,0,0,0
04/03/2017,Leicester,Hull,M Dean,12,13,25,1,1,2,0,0,0
04/03/2017,Liverpool,Arsenal,R Madley,8,15,23,1,2,3,0,0,0
04/03/2017,Man United,Bournemouth,K Friend,9,11,20,3,2,5,0,1,1
04/03/2017,Stoke,Middlesbrough,C Pawson,16,20,36,1,2,3,0,0,0
04/03/2017,Swansea,Burnley,A Taylor,7,13,20,2,2,4,0,0,0
04/03/2017,Watford,Southampton,J Moss,16,9,25,3,2,5,0,0,0
04/03/2017,West Brom,Crystal Palace,M Jones,8,12,20,0,1,1,0,0,0
05/03/2017,Sunderland,Man City,M Atkinson,11,4,15,1,0,1,0,0,0
05/03/2017,Tottenham,Everton,M Oliver,9,14,23,1,2,3,0,0,0
06/03/2017,West Ham,Chelsea,A Marriner,8,8,16,0,1,1,0,0,0
08/03/2017,Man City,Stoke,N Swarbrick,8,11,19,1,3,4,0,0,0
11/03/2017,Bournemouth,West Ham,R Madley,20,15,35,4,2,6,0,0,0
11/03/2017,Everton,West Brom,G Scott,8,12,20,1,2,3,0,0,0
11/03/2017,Hull,Swansea,A Marriner,14,5,19,3,1,4,0,0,0
12/03/2017,Liverpool,Burnley,C Pawson,12,16,28,2,2,4,0,0,0
18/03/2017,Bournemouth,Swansea,M Dean,10,9,19,0,2,2,0,0,0
18/03/2017,Crystal Palace,Watford,M Atkinson,8,15,23,0,2,2,0,0,0
18/03/2017,Everton,Hull,P Tierney,9,7,16,2,0,2,0,1,1
18/03/2017,Stoke,Chelsea,A Taylor,16,11,27,4,2,6,1,0,1
18/03/2017,Sunderland,Burnley,R Madley,14,7,21,2,1,3,0,0,0
18/03/2017,West Brom,Arsenal,N Swarbrick,5,6,11,1,0,1,0,0,0
18/03/2017,West Ham,Leicester,R East,10,14,24,0,1,1,0,0,0
19/03/2017,Man City,Liverpool,M Oliver,14,7,21,3,3,6,0,0,0
19/03/2017,Middlesbrough,Man United,J Moss,9,8,17,1,1,2,0,0,0
19/03/2017,Tottenham,Southampton,A Marriner,12,13,25,3,3,6,0,0,0
01/04/2017,Burnley,Tottenham,S Attwell,9,6,15,2,0,2,0,0,0
01/04/2017,Chelsea,Crystal Palace,C Pawson,12,14,26,3,2,5,0,0,0
01/04/2017,Hull,West Ham,M Jones,16,9,25,2,2,4,0,0,0
01/04/2017,Leicester,Stoke,L Mason,7,11,18,1,4,5,0,0,0
01/04/2017,Liverpool,Everton,A Taylor,17,10,27,1,3,4,0,0,0
01/04/2017,Man United,West Brom,M Dean,15,13,28,3,3,6,0,0,0
01/04/2017,Southampton,Bournemouth,J Moss,14,8,22,1,0,1,0,0,0
01/04/2017,Watford,Sunderland,L Probert,12,8,20,1,3,4,0,0,0
02/04/2017,Arsenal,Man City,A Marriner,8,15,23,3,2,5,0,0,0
02/04/2017,Swansea,Middlesbrough,R Madley,9,16,25,2,3,5,0,0,0
04/04/2017,Burnley,Stoke,K Friend,9,16,25,3,2,5,0,0,0
04/04/2017,Leicester,Sunderland,G Scott,12,13,25,0,1,1,0,0,0
04/04/2017,Man United,Everton,N Swarbrick,10,18,28,1,4,5,0,1,1
04/04/2017,Watford,West Brom,P Tierney,11,14,25,1,4,5,1,0,1
05/04/2017,Arsenal,West Ham,M Atkinson,11,5,16,2,2,4,0,0,0
05/04/2017,Chelsea,Man City,M Dean,10,14,24,1,3,4,0,0,0
05/04/2017,Hull,Middlesbrough,M Oliver,13,12,25,2,1,3,0,0,0
05/04/2017,Liverpool,Bournemouth,L Mason,11,8,19,1,1,2,0,0,0
05/04/2017,Southampton,Crystal Palace,R East,16,11,27,2,1,3,0,0,0
05/04/2017,Swansea,Tottenham,J Moss,7,8,15,1,1,2,0,0,0
08/04/2017,Bournemouth,Chelsea,A Marriner,7,11,18,2,3,5,0,0,0
08/04/2017,Man City,Hull,J Moss,6,8,14,0,2,2,0,0,0
08/04/2017,Middlesbrough,Burnley,M Atkinson,9,12,21,0,3,3,0,0,0
08/04/2017,Stoke,Liverpool,M Dean,7,11,18,0,2,2,0,0,0
08/04/2017,Tottenham,Watford,A Taylor,12,12,24,0,1,1,0,0,0
08/04/2017,West Brom,Southampton,C Kavanagh,12,12,24,2,2,4,0,0,0
08/04/2017,West Ham,Swansea,K Friend,12,12,24,5,1,6,0,0,0
09/04/2017,Everton,Leicester,R Madley,8,15,23,2,2,4,0,0,0
09/04/2017,Sunderland,Man United,C Pawson,14,20,34,1,5,6,1,0,1
10/04/2017,Crystal Palace,Arsenal,M Oliver,11,10,21,0,1,1,0,0,0
15/04/2017,Crystal Palace,Leicester,M Dean,10,16,26,0,2,2,0,0,0
15/04/2017,Everton,Burnley,M Clattenburg,15,14,29,2,0,2,0,0,0
15/04/2017,Southampton,Man City,N Swarbrick,9,8,17,3,0,3,0,0,0
15/04/2017,Stoke,Hull,S Attwell,12,5,17,0,2,2,0,0,0
15/04/2017,Sunderland,West Ham,A Marriner,14,10,24,1,0,1,0,1,1
