Date,HomeTeam,AwayTeam,FTHG,FTAG,Referee
05/02/2017,Man City,Swansea,2,1,M Dean
11/02/2017,Arsenal,Hull,2,0,M Clattenburg
11/02/2017,Liverpool,Tottenham,2,0,A Taylor
11/02/2017,Man United,Watford,2,0,R Madley
11/02/2017,Middlesbrough,Everton,0,0,M Dean
11/02/2017,Stoke,Crystal Palace,1,0,M Atkinson
11/02/2017,Sunderland,Southampton,0,4,P Tierney
11/02/2017,West Ham,West Brom,2,2,M Oliver
12/02/2017,Burnley,Chelsea,1,1,K Friend
12/02/2017,Swansea,Leicester,2,0,J Moss
13/02/2017,Bournemouth,Man City,0,2,N Swarbrick
25/02/2017,Chelsea,Swansea,3,1,N Swarbrick
25/02/2017,Crystal Palace,Middlesbrough,1,0,R Madley
25/02/2017,Everton,Sunderland,2,0,S Attwell
25/02/2017,Hull,Burnley,1,1,M Atkinson
25/02/2017,Watford,West Ham,1,1,C Pawson
25/02/2017,West Brom,Bournemouth,2,1,M Clattenburg
26/02/2017,Tottenham,Stoke,4,0,J Moss
27/02/2017,Leicester,Liverpool,3,1,M Oliver
04/03/2017,Leicester,Hull,3,1,M Dean
04/03/2017,Liverpool,Arsenal,3,1,R Madley
04/03/2017,Man United,Bournemouth,1,1,K Friend
04/03/2017,Stoke,Middlesbrough,2,0,C Pawson
04/03/2017,Swansea,Burnley,3,2,A Taylor
04/03/2017,Watford,Southampton,3,4,J Moss
04/03/2017,West Brom,Crystal Palace,0,2,M Jones
05/03/2017,Sunderland,Man City,0,2,M Atkinson
05/03/2017,Tottenham,Everton,3,2,M Oliver
06/03/2017,West Ham,Chelsea,1,2,A Marriner
08/03/2017,Man City,Stoke,0,0,N Swarbrick
11/03/2017,Bournemouth,West Ham,3,2,R Madley
11/03/2017,Everton,West Brom,3,0,G Scott
11/03/2017,Hull,Swansea,2,1,A Marriner
12/03/2017,Liverpool,Burnley,2,1,C Pawson
18/03/2017,Bournemouth,Swansea,2,0,M Dean
18/03/2017,Crystal Palace,Watford,1,0,M Atkinson
18/03/2017,Everton,Hull,4,0,P Tierney
18/03/2017,Stoke,Chelsea,1,2,A Taylor
18/03/2017,Sunderland,Burnley,0,0,R Madley
18/03/2017,West Brom,Arsenal,3,1,N Swarbrick
18/03/2017,West Ham,Leicester,2,3,R East
19/03/2017,Man City,Liverpool,1,1,M Oliver
19/03/2017,Middlesbrough,Man United,1,3,J Moss
19/03/2017,Tottenham,Southampton,2,1,A Marriner
01/04/2017,Burnley,Tottenham,0,2,S Attwell
01/04/2017,Chelsea,Crystal Palace,1,2,C Pawson
01/04/2017,Hull,West Ham,2,1,M Jones
01/04/2017,Leicester,Stoke,2,0,L Mason
01/04/2017,Liverpool,Everton,3,1,A Taylor
01/04/2017,Man United,West Brom,0,0,M Dean
01/04/2017,Southampton,Bournemouth,0,0,J Moss
01/04/2017,Watford,Sunderland,1,0,L Probert
02/04/2017,Arsenal,Man City,2,2,A Marriner
02/04/2017,Swansea,Middlesbrough,0,0,R Madley
04/04/2017,Burnley,Stoke,1,0,K Friend
04/04/2017,Leicester,Sunderland,2,0,G Scott
04/04/2017,Man United,Everton,1,1,N Swarbrick
04/04/2017,Watford,West Brom,2,0,P Tierney
05/04/2017,Arsenal,West Ham,3,0,M Atkinson
05/04/2017,Chelsea,Man City,2,1,M Dean
05/04/2017,Hull,Middlesbrough,4,2,M Oliver
05/04/2017,Liverpool,Bournemouth,2,2,L Mason
05/04/2017,Southampton,Crystal Palace,3,1,R East
05/04/2017,Swansea,Tottenham,1,3,J Moss
08/04/2017,Bournemouth,Chelsea,1,3,A Marriner
08/04/2017,Man City,Hull,3,1,J Moss
08/04/2017,Middlesbrough,Burnley,0,0,M Atkinson
08/04/2017,Stoke,Liverpool,1,2,M Dean
08/04/2017,Tottenham,Watford,4,0,A Taylor
08/04/2017,West Brom,Southampton,0,1,C Kavanagh
08/04/2017,West Ham,Swansea,1,0,K Friend
09/04/2017,Everton,Leicester,4,2,R Madley
09/04/2017,Sunderland,Man United,0,3,C Pawson
10/04/2017,Crystal Palace,Arsenal,3,0,M Oliver
15/04/2017,Crystal Palace,Leicester,2,2,M Dean
15/04/2017,Everton,Burnley,3,1,M Clattenburg
15/04/2017,Southampton,Man City,0,3,N Swarbrick
15/04/2017,Stoke,Hull,3,1,S Attwell
15/04/2017,Sunderland,West Ham,2,2,A Marriner
15/04/2017,Tottenham,Bournemouth,4,0,M Oliver
15/04/2017,Watford,Swansea,1,0,L Mason
16/04/2017,Man United,Chelsea,2,0,R Madley
16/04/2017,West Brom,Liverpool,0,1,J Moss
17/04/2017,Middlesbrough,Arsenal,1,2,A Taylor
22/04/2017,Bournemouth,Middlesbrough,4,0,G Scott
22/04/2017,Hull,Watford,2,0,R Madley
22/04/2017,Swansea,Stoke,2,0,M Oliver
22/04/2017,West Ham,Everton,0,0,R East
23/04/2017,Burnley,Man United,0,2,A Taylor
23/04/2017,Liverpool,Crystal Palace,1,2,A Marriner
25/04/2017,Chelsea,Southampton,4,2,L Mason
26/04/2017,Arsenal,Leicester,1,0,M Jones
26/04/2017,Crystal Palace,Tottenham,0,1,J Moss
26/04/2017,Middlesbrough,Sunderland,1,0,M Dean
27/04/2017,Man City,Man United,0,0,M Atkinson
29/04/2017,Crystal Palace,Burnley,0,2,R Madley
29/04/2017,Southampton,Hull,0,0,M Dean
29/04/2017,Stoke,West Ham,0,0,L Probert
29/04/2017,Sunderland,Bournemouth,0,1,S Attwell
29/04/2017,West Brom,Leicester,0,1,M Clattenburg
30/04/2017,Everton,Chelsea,0,3,J Moss
30/04/2017,Man United,Swansea,1,1,N Swarbrick
30/04/2017,Middlesbrough,Man City,2,2,K Friend
30/04/2017,Tottenham,Arsenal,2,0,M Oliver
01/05/2017,Watford,Liverpool,0,1,C Pawson
05/05/2017,West Ham,Tottenham,1,0,A Taylor
06/05/2017,Bournemouth,Stoke,2,2,P Tierney
06/05/2017,Burnley,West Brom,2,2,M Jones
06/05/2017,Hull,Sunderland,0,2,N Swarbrick
06/05/2017,Leicester,Watford,3,0,R East
06/05/2017,Man City,Crystal Palace,5,0,M Oliver
06/05/2017,Swansea,Everton,1,0,M Atkinson
07/05/2017,Arsenal,Man United,2,0,A Marriner
07/05/2017,Liverpool,Southampton,0,0,R Madley
08/05/2017,Chelsea,Middlesbrough,3,0,C Pawson
10/05/2017,Southampton,Arsenal,0,2,J Moss
12/05/2017,Everton,Watford,1,0,K Friend
12/05/2017,West Brom,Chelsea,0,1,M Oliver
13/05/2017,Bournemouth,Burnley,2,1,L Probert
13/05/2017,Man City,Leicester,2,1,R Madley
13/05/2017,Middlesbrough,Southampton,1,2,A Taylor
13/05/2017,Stoke,Arsenal,1,4,M Dean
13/05/2017,Sunderland,Swansea,0,2,A Marriner
14/05/2017,Crystal Palace,Hull,4,0,M Atkinson
14/05/2017,Tottenham,Man United,2,1,J Moss
14/05/2017,West Ham,Liverpool,0,4,N Swarbrick
15/05/2017,Chelsea,Watford,4,3,L Mason
16/05/2017,Arsenal,Sunderland,2,0,R East
16/05/2017,Man City,West Brom,3,1,C Pawson
17/05/2017,Southampton,Man United,0,0,M Dean
18/05/2017,Leicester,Tottenham,1,6,M Oliver
21/05/2017,Arsenal,Everton,3,1,M Oliver
21/05/2017,Burnley,West Ham,1,2,R Madley
21/05/2017,Chelsea,Sunderland,5,1,N Swarbrick
21/05/2017,Hull,Tottenham,1,7,A Marriner
21/05/2017,Leicester,Bournemouth,1,1,l Mason
21/05/2017,Liverpool,Middlesbrough,3,0,M Atkinson
21/05/2017,Man United,Crystal Palace,2,0,A Taylor
21/05/2017,Southampton,Stoke,0,1,L Probert
21/05/2017,Swansea,West Brom,2,1,M Dean
21/05/2017,Watford,Man City,0,5,J Moss
