web_name,team_code,first_name,second_name,squad_number,now_cost,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,element_type,team
Walker,43,Kyle,Walker,2,66,2,12.9,90,4.3,1843,0,5,10,16,1,0,0,2,1,0,5,464,70.9,2,11
Vertonghen,6,Jan,Vertonghen,5,60,0,9.6,82,3.6,2039,0,1,10,21,0,0,0,4,0,0,5,482,78.2,2,17
Davies,6,Ben,Davies,33,55,3,13.8,85,4.7,1333,2,4,6,12,0,0,0,1,0,0,7,369,101.2,2,17
Trippier,6,Kieran,Trippier,2,53,3,4.2,67,4.8,1173,0,4,5,14,0,0,0,0,0,0,12,336,75.8,2,17
Wimmer,110,Kevin,Wimmer,5,42,0,0.4,19,1.1,1321,0,0,1,32,0,0,0,5,0,0,1,196,36.5,2,15
Dier,6,Eric,Dier,15,47,0,2.5,55,2.4,1924,0,1,10,19,0,0,0,3,0,0,0,320,80.5,3,17
Dembélé,6,Mousa,Dembélé,19,49,0,1.4,28,1.8,958,0,0,2,14,0,0,0,2,0,0,3,188,36.3,3,17
Lamela,6,Erik,Lamela,11,63,0,0.1,18,1.8,251,0,2,2,4,0,0,0,2,0,0,0,64,29.3,3,17
Eriksen,6,Christian,Eriksen,23,93,2,17.7,124,5.4,1958,6,7,11,19,0,0,0,0,0,0,16,487,208.4,3,17
Alli,6,Bamidele,Alli,20,90,2,14.7,108,4.9,1834,5,9,9,19,0,0,0,3,0,0,7,337,168.6,3,17
Wanyama,6,Victor,Wanyama,12,48,0,0.3,6,1.2,161,0,0,0,2,0,0,0,0,0,0,0,26,11.1,3,17
Son,6,Heung-Min,Son,7,82,5,14.3,112,5.1,1383,8,5,9,9,0,0,0,0,0,0,10,355,158.0,3,17
Winks,6,Harry,Winks,29,48,0,0.2,31,1.9,768,0,1,4,9,0,0,0,0,0,0,0,167,33.1,3,17
Nkoudou,90,Georges-Kévin,Nkoudou,7,54,0,0.0,2,1.0,28,0,0,0,0,0,0,0,0,0,0,0,6,1.7,3,4
Sissoko,6,Moussa,Sissoko,17,54,0,0.4,43,2.0,1005,1,1,6,12,0,0,0,2,0,0,0,178,65.1,3,17
Kane,6,Harry,Kane,10,130,7,47.6,147,6.7,1861,20,1,9,20,0,0,0,4,0,0,25,531,278.8,4,17
Janssen,6,Vincent,Janssen,9,74,0,0.1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,4,17
Pantilimon,57,Costel,Pantilimon,30,45,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,18
Gomes,57,Heurelho,Gomes,1,45,0,2.1,62,2.7,2038,0,0,5,39,0,0,0,0,0,61,4,386,45.1,1,18
Kaboul,57,Younes,Kaboul,4,43,0,0.1,7,3.5,151,0,0,1,3,0,0,0,0,0,0,0,35,5.0,2,18
Cathcart,57,Craig,Cathcart,15,44,0,0.0,1,1.0,19,0,0,0,0,0,0,0,0,0,0,0,4,0.3,2,18
Prödl,57,Sebastian,Prödl,5,43,0,0.2,17,1.7,664,0,0,2,13,0,0,0,2,0,0,0,121,17.0,2,18
Holebas,57,José,Holebas,25,49,0,0.4,35,2.3,1211,0,3,2,28,0,0,0,3,0,0,3,214,69.7,2,18
Britos,57,Miguel,Britos,3,43,0,0.6,20,2.2,704,1,0,2,12,0,0,0,3,1,0,0,129,24.4,2,18
Kabasele,57,Christian,Kabasele,27,46,1,1.8,52,2.4,1859,2,0,4,38,1,0,0,3,0,0,1,327,68.8,2,18
Janmaat,57,Daryl,Janmaat,2,48,1,0.3,28,2.5,855,2,1,0,22,0,0,0,1,0,0,3,165,46.4,2,18
Mariappa,57,Adrian,Mariappa,6,41,0,4.7,22,1.6,1029,0,0,2,24,0,0,0,2,0,0,0,148,25.8,2,18
Mason,57,Brandon,Mason,32,39,0,1.7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,18
Kiko Femenía,57,Francisco,Femenía Far,21,44,1,1.7,51,3.4,1214,0,1,5,22,0,0,0,2,0,0,9,298,50.7,2,18
Cleverley,57,Tom,Cleverley,8,50,1,0.6,55,2.5,1829,1,2,5,33,0,0,1,1,1,0,3,290,90.1,3,18
Capoue,57,Etienne,Capoue,29,49,0,1.2,20,2.0,367,1,1,0,10,0,0,0,1,0,0,0,89,24.0,3,18
Amrabat,57,Nordin,Amrabat,7,50,0,0.0,6,2.0,198,0,0,1,3,0,0,0,0,0,0,0,11,8.0,3,18
Success,57,Isaac,Success,10,53,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,18
Doucouré,57,Abdoulaye,Doucouré,16,53,1,12.6,95,4.3,1980,7,1,5,41,0,0,0,6,0,0,14,446,122.9,3,18
Pereyra,57,Roberto,Pereyra,37,58,0,0.1,29,1.6,704,1,1,0,17,0,0,0,2,0,0,0,117,43.2,3,18
Hughes,57,Will,Hughes,19,46,1,0.2,26,5.2,323,2,1,2,6,0,0,0,0,0,0,3,89,30.3,3,18
Deeney,57,Troy,Deeney,9,63,0,0.4,31,2.2,673,2,2,1,14,0,0,0,1,1,0,1,109,49.5,4,18
Okaka,57,Stefano,Okaka,33,53,0,0.3,14,2.0,222,1,0,1,4,0,0,0,0,0,0,1,43,15.5,4,18
Zárate,57,Mauro,Zárate,20,54,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,18
Myhill,35,Boaz,Myhill,13,40,0,3.7,1,1.0,90,0,0,0,1,0,0,0,1,0,2,0,7,1.2,1,19
Foster,35,Ben,Foster,1,44,0,9.5,76,3.5,1980,0,0,7,29,0,0,0,2,0,52,6,371,38.6,1,19
Nyom,35,Allan-Roméo,Nyom,2,48,0,1.2,47,2.6,1330,0,1,4,21,0,0,0,4,0,0,6,249,49.3,2,19
Evans,35,Jonny,Evans,6,49,1,1.3,61,3.0,1734,2,1,5,28,1,0,0,5,0,0,4,345,68.9,2,19
